1691016706503883|Primary Card|1
1691019593047378|Primary Card|1
1691015436851737|Primary Card|1
1691010652450892|Primary Card|1
1691015580796886|Primary Card|1
1691010700979751|Primary Card|1
1691017689501209|Primary Card|1
1691013784839537|Primary Card|1
1691020645230665|Primary Card|1
1691021715365472|Primary Card|1
1692015686127951|Primary Card|1
1693010782939374|Primary Card|1
1693017003729021|Primary Card|1
1693016075352423|Primary Card|1
1693011733690173|Primary Card|1
1693015747130613|Primary Card|1
1693019480195130|Primary Card|1
1693012657404831|Primary Card|1
1693011012006943|Primary Card|1
1693012648753619|Primary Card|1
1693018888598903|Primary Card|1
1693018914036704|Primary Card|1
1693013977481731|Primary Card|1
1693014106065999|Primary Card|1
1693011982866870|Primary Card|1
1693017637389416|Primary Card|1
1693017232473375|Primary Card|1
1693014300318202|Primary Card|1
1693015233113230|Primary Card|1
1693013458964908|Primary Card|1
1693012351985465|Primary Card|1
1693019233501899|Primary Card|1
1693010335484233|Primary Card|1
1693019563574334|Primary Card|1
1693015364704393|Primary Card|1
1693019065884397|Primary Card|1
1693012442094467|Primary Card|1
1693015317195897|Primary Card|1
1693012016554292|Primary Card|1
1693013575882629|Primary Card|1
1693014946935112|Primary Card|1
1693011956584160|Primary Card|1
1693017499238610|Primary Card|1
1693017687736094|Primary Card|1
1693010689742137|Primary Card|1
1693013435196749|Primary Card|1
1693017274670243|Primary Card|1
1693013775989364|Primary Card|1
1693013844779671|Primary Card|1
1693017664019407|Primary Card|1
1693019004896262|Primary Card|1
1693010051469202|Primary Card|1
1693016335305955|Primary Card|1
1693013176852591|Primary Card|1
1693019291253110|Primary Card|1
1693011135757380|Primary Card|1
1693013960157751|Primary Card|1
1693013366416793|Primary Card|1
1693015222686196|Primary Card|1
1693010869955616|Primary Card|1
1693018215164387|Primary Card|1
1693010773468771|Primary Card|1
1693019388101578|Primary Card|1
1693018213889092|Primary Card|1
1693012637371399|Primary Card|1
1693018401683133|Primary Card|1
1693016158161915|Primary Card|1
1693013172340583|Primary Card|1
1693015664805437|Primary Card|1
1693012729964051|Primary Card|1
1693019687007500|Primary Card|1
1693014770979434|Primary Card|1
